기관명,시도,시군구,주소,전화,유형
강릉시자살예방센터,강원도,강릉시,"강원 강릉시 남구길23번길 24 3층, 4층",033-651-9668,기초 자살예방센터
강릉시정신건강복지센터,강원도,강릉시,"강원 강릉시 남구길23번길 24 3층, 4층",033-651-9668,기초 정신건강복지센터
강릉아산병원,강원도,강릉시,강원특별자치도 강릉시 사천면 방동길 38 강릉아산병원 사회복지unit,033-610-3114,생명사랑위기대응센터
고성군보건소 정신건강복지센터,강원도,고성군,강원도 고성군 간성읍 수성로 30,033-680-3856,기초 정신건강복지센터
동해시정신건강복지센터,강원도,동해시,강원도 동해시 청운로 96(쇄운동 157-1),033-533-0197,기초 정신건강복지센터
삼척시정신건강복지센터,강원도,삼척시,강원도 삼척시 척주로 76(남양동),033-574-0190,기초 정신건강복지센터
속초시정신건강복지센터,강원도,속초시,강원도 속초시 중앙로17번길 6 국립농산물품질관리원 ,033-633-4088,기초 정신건강복지센터
양구군정신건강복지센터,강원도,양구군,강원도 양구군 양구읍 관공서로 42 보건소 4층,033-480-2789,기초 정신건강복지센터
양양군정신건강복지센터,강원도,양양군,"강원도 양양군 양양읍 양양로 9-5, 2층 정신건강증진센터",033-673-0197,기초 정신건강복지센터
영월군보건소 정신건강복지센터,강원도,영월군,강원 영월군 영월읍 하송로 46-43 영월군 보건소,033-370-2556,기초 정신건강복지센터
원주시자살예방센터,강원도,원주시,강원도 원주시 원일로 139 건강문화센터 4층,033-746-0198,기초 자살예방센터
원주시정신건강복지센터,강원도,원주시,강원도 원주시 원일로 139 건강문화센터 4층,033-746-0199,기초 정신건강복지센터
연세대학교 원주세브란스기독병원,강원도,원주시,강원도 원주시 일산로 20 연세대학교원주세브란스기독병원 5층 생명사랑위기대응센터(낮병동 내),033-741-0114,생명사랑위기대응센터
인제군보건소 정신건강복지센터,강원도,인제군,강원도 인제군 인제읍 인제로 140번길 34,033-461-7427,기초 정신건강복지센터
정선군보건소 정신건강복지센터,강원도,정선군,강원도 정선군 정선읍 녹송로 33,033-560-2729,기초 정신건강복지센터
철원군보건소 정신건강복지센터,강원도,철원군,강원도 철원군 갈말읍 군탄로16,033-450-5104,기초 정신건강복지센터
강원도자살예방센터,강원도,춘천시,강원도 춘천시 춘천로 306-5 유창프라자 3층,033-251-2294,광역 자살예방센터
강원도광역정신건강복지센터,강원도,춘천시,강원도 춘천시 춘천로 306-5 유창프라자 3층,033-251-1970,광역 정신건강복지센터
춘천시자살예방센터,강원도,춘천시,강원도 춘천시 효제길 35,033-241-4256,기초 자살예방센터
춘천시정신건강복지센터,강원도,춘천시,강원도 춘천시 효제길 35,033-242-7574,기초 정신건강복지센터
강원대학교병원,강원도,춘천시,강원도 춘천시 백령로 156 본관 2층 생명사랑위기대응사업단,033-258-2000,생명사랑위기대응센터
한림대학교 춘천성심병원,강원도,춘천시,강원도 춘천시 삭주로 77 한림대학교 춘천성심병원 본관 지하 1층 사회사업팀,033-240-5000,생명사랑위기대응센터
태백시정신건강복지센터,강원도,태백시,강원도 태백시 태백로 905,033-554-1378,기초 정신건강복지센터
